"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 24 20:51:42 GMT 2023","Wed May 24 20:52:43 GMT 2023","60988","","tests.desktop_test.about_bank.ConnectWithSupportTest","","tests.desktop_test.about_bank.ConnectWithSupportTest","connectingSupportTest","Проверяем обработку файлов при обращении в службу поддержки [1] src/main/resources/testData/voiceTest.mp3",""
"broken","Wed May 24 20:56:54 GMT 2023","Wed May 24 20:57:35 GMT 2023","41053","","tests.mobile_test.about_bank.ConnectWithSupportMobTest","","tests.mobile_test.about_bank.ConnectWithSupportMobTest","mobConnectingSupportTest","Проверяем обработку файлов при обращении в службу поддержки",""
"failed","Wed May 24 20:59:26 GMT 2023","Wed May 24 20:59:45 GMT 2023","19268","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","mobMonthlyPaymentTest","Проверяем взаимодействие ипотечного калькулятора и графика платежей [2] 5",""
"failed","Wed May 24 20:53:14 GMT 2023","Wed May 24 20:53:36 GMT 2023","21661","","tests.desktop_test.about_bank.ConnectWithSupportTest","","tests.desktop_test.about_bank.ConnectWithSupportTest","connectingSupportTest","Проверяем обработку файлов при обращении в службу поддержки [3] src/main/resources/testData/datasetTest.csv",""
"failed","Wed May 24 20:57:58 GMT 2023","Wed May 24 20:58:45 GMT 2023","46619","","tests.mobile_test.about_bank.MortgagedPropertyMobTest","","tests.mobile_test.about_bank.MortgagedPropertyMobTest","mobMortgagedPropertyTest","Проверяем форму заявки в разделе «Реализуемое имущество»",""
"failed","Wed May 24 20:52:44 GMT 2023","Wed May 24 20:53:14 GMT 2023","30851","","tests.desktop_test.about_bank.ConnectWithSupportTest","","tests.desktop_test.about_bank.ConnectWithSupportTest","connectingSupportTest","Проверяем обработку файлов при обращении в службу поддержки [2] src/main/resources/testData/textTest.docx",""
"broken","Wed May 24 20:50:38 GMT 2023","Wed May 24 20:51:42 GMT 2023","63899","","tests.desktop_test.about_bank.PassExamTest","","tests.desktop_test.about_bank.PassExamTest","passingExamTest","Проверяем обработку результатов теста «Обмани мошенника»",""
"passed","Wed May 24 20:56:40 GMT 2023","Wed May 24 20:56:54 GMT 2023","13657","","tests.desktop_test.mortgage.MortgageCalculatorTest","","tests.desktop_test.mortgage.MortgageCalculatorTest","monthlyPaymentTest","Проверяем взаимодействие ипотечного калькулятора и графика платежей [2] 5",""
"failed","Wed May 24 20:57:35 GMT 2023","Wed May 24 20:57:58 GMT 2023","22399","","tests.mobile_test.about_bank.PassExamMobTest","","tests.mobile_test.about_bank.PassExamMobTest","mobPassingExamTest","Проверяем обработку результатов теста «Обмани мошенника»",""
"broken","Wed May 24 20:55:39 GMT 2023","Wed May 24 20:56:40 GMT 2023","60862","","tests.desktop_test.mortgage.MortgageCalculatorTest","","tests.desktop_test.mortgage.MortgageCalculatorTest","monthlyPaymentTest","Проверяем взаимодействие ипотечного калькулятора и графика платежей [1] 8",""
"broken","Wed May 24 20:58:45 GMT 2023","Wed May 24 20:59:26 GMT 2023","41130","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","mobMonthlyPaymentTest","Проверяем взаимодействие ипотечного калькулятора и графика платежей [1] 8",""
"broken","Wed May 24 20:54:38 GMT 2023","Wed May 24 20:55:39 GMT 2023","60881","","tests.desktop_test.mortgage.FamilyMortgageTest","","tests.desktop_test.mortgage.FamilyMortgageTest","familyMortgageTest","Проверяем форму заявки на ипотеку на ввод некорректных данных",""
"broken","Wed May 24 20:53:37 GMT 2023","Wed May 24 20:54:38 GMT 2023","61082","","tests.desktop_test.about_bank.MortgagedPropertyTest","","tests.desktop_test.about_bank.MortgagedPropertyTest","mortgagedPropertyTest","Проверяем форму заявки в разделе «Реализуемое имущество»",""
"broken","Wed May 24 20:59:46 GMT 2023","Wed May 24 21:00:27 GMT 2023","41146","","tests.mobile_test.mortgage.FamilyMortgageMobTest","","tests.mobile_test.mortgage.FamilyMortgageMobTest","mobFamilyMortgageTest","Проверяем форму заявки на ипотеку на ввод некорректных данных",""
