"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 25 08:34:28 GMT 2023","Thu May 25 08:34:28 GMT 2023","45","","tests.mobile_test.mortgage.FamilyMortgageMobTest","","tests.mobile_test.mortgage.FamilyMortgageMobTest","mobFamilyMortgageTest","Проверяем форму заявки на ипотеку на ввод некорректных данных",""
"broken","Thu May 25 08:34:28 GMT 2023","Thu May 25 08:34:28 GMT 2023","0","","tests.mobile_test.mortgage.FamilyMortgageMobTest","","tests.mobile_test.mortgage.FamilyMortgageMobTest","","FamilyMortgageMobTest",""
"broken","Thu May 25 08:31:39 GMT 2023","Thu May 25 08:31:50 GMT 2023","11257","","tests.desktop_test.about_bank.ConnectWithSupportTest","","tests.desktop_test.about_bank.ConnectWithSupportTest","connectingSupportTest","Проверяем обработку файлов при обращении в службу поддержки [1] src/main/resources/testData/voiceTest.mp3",""
"broken","Thu May 25 08:33:29 GMT 2023","Thu May 25 08:33:44 GMT 2023","14261","","tests.desktop_test.mortgage.MortgageCalculatorTest","","tests.desktop_test.mortgage.MortgageCalculatorTest","monthlyPaymentTest","Проверяем взаимодействие ипотечного калькулятора и графика платежей [1] 8",""
"failed","Thu May 25 08:33:44 GMT 2023","Thu May 25 08:34:27 GMT 2023","43069","","tests.mobile_test.about_bank.ConnectWithSupportMobTest","","tests.mobile_test.about_bank.ConnectWithSupportMobTest","mobConnectingSupportTest","Проверяем обработку файлов при обращении в службу поддержки",""
"broken","Thu May 25 08:34:28 GMT 2023","Thu May 25 08:34:28 GMT 2023","0","","tests.mobile_test.about_bank.MortgagedPropertyMobTest","","tests.mobile_test.about_bank.MortgagedPropertyMobTest","","MortgagedPropertyMobTest",""
"failed","Thu May 25 08:31:52 GMT 2023","Thu May 25 08:33:15 GMT 2023","83110","","tests.desktop_test.about_bank.MortgagedPropertyTest","","tests.desktop_test.about_bank.MortgagedPropertyTest","mortgagedPropertyTest","Проверяем форму заявки в разделе «Реализуемое имущество»",""
"broken","Thu May 25 08:33:44 GMT 2023","Thu May 25 08:34:26 GMT 2023","41724","","tests.mobile_test.about_bank.PassExamMobTest","","tests.mobile_test.about_bank.PassExamMobTest","mobPassingExamTest","Проверяем обработку результатов теста «Обмани мошенника»",""
"failed","Thu May 25 08:33:16 GMT 2023","Thu May 25 08:33:43 GMT 2023","27578","","tests.desktop_test.mortgage.FamilyMortgageTest","","tests.desktop_test.mortgage.FamilyMortgageTest","familyMortgageTest","Проверяем форму заявки на ипотеку на ввод некорректных данных",""
"broken","Thu May 25 08:34:28 GMT 2023","Thu May 25 08:35:09 GMT 2023","41420","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","mobMonthlyPaymentTest","Проверяем взаимодействие ипотечного калькулятора и графика платежей [1] 8",""
"failed","Thu May 25 08:32:54 GMT 2023","Thu May 25 08:33:28 GMT 2023","34628","","tests.desktop_test.about_bank.ConnectWithSupportTest","","tests.desktop_test.about_bank.ConnectWithSupportTest","connectingSupportTest","Проверяем обработку файлов при обращении в службу поддержки [3] src/main/resources/testData/datasetTest.csv",""
"broken","Thu May 25 08:31:51 GMT 2023","Thu May 25 08:32:54 GMT 2023","63038","","tests.desktop_test.about_bank.ConnectWithSupportTest","","tests.desktop_test.about_bank.ConnectWithSupportTest","connectingSupportTest","Проверяем обработку файлов при обращении в службу поддержки [2] src/main/resources/testData/textTest.docx",""
"broken","Thu May 25 08:31:39 GMT 2023","Thu May 25 08:31:50 GMT 2023","11147","","tests.desktop_test.about_bank.PassExamTest","","tests.desktop_test.about_bank.PassExamTest","passingExamTest","Проверяем обработку результатов теста «Обмани мошенника»",""
"failed","Thu May 25 08:35:09 GMT 2023","Thu May 25 08:35:29 GMT 2023","19866","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","mobMonthlyPaymentTest","Проверяем взаимодействие ипотечного калькулятора и графика платежей [2] 5",""
"broken","Thu May 25 08:33:44 GMT 2023","Thu May 25 08:33:44 GMT 2023","39","","tests.desktop_test.mortgage.MortgageCalculatorTest","","tests.desktop_test.mortgage.MortgageCalculatorTest","monthlyPaymentTest","Проверяем взаимодействие ипотечного калькулятора и графика платежей [2] 5",""
"broken","Thu May 25 08:34:27 GMT 2023","Thu May 25 08:34:28 GMT 2023","981","","tests.mobile_test.about_bank.MortgagedPropertyMobTest","","tests.mobile_test.about_bank.MortgagedPropertyMobTest","mobMortgagedPropertyTest","Проверяем форму заявки в разделе «Реализуемое имущество»",""
