"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 24 17:02:19 GMT 2023","Wed May 24 17:02:45 GMT 2023","25441","","tests.desktop_test.mortgage.FamilyMortgageTest","","tests.desktop_test.mortgage.FamilyMortgageTest","familyMortgageTest","familyMortgageTest()",""
"broken","Wed May 24 17:02:45 GMT 2023","Wed May 24 17:02:45 GMT 2023","21","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","mobMonthlyPaymentTest","mobMonthlyPaymentTest(String) [2] 5",""
"broken","Wed May 24 17:02:45 GMT 2023","Wed May 24 17:02:45 GMT 2023","0","","tests.mobile_test.about_bank.MortgagedPropertyMobTest","","tests.mobile_test.about_bank.MortgagedPropertyMobTest","","MortgagedPropertyMobTest",""
"broken","Wed May 24 17:01:01 GMT 2023","Wed May 24 17:02:03 GMT 2023","61824","","tests.desktop_test.about_bank.ConnectWithSupportTest","","tests.desktop_test.about_bank.ConnectWithSupportTest","connectingSupportTest","connectingSupportTest(String) [2] src/main/resources/testData/textTest.docx",""
"broken","Wed May 24 17:02:45 GMT 2023","Wed May 24 17:02:45 GMT 2023","0","","tests.desktop_test.mortgage.FamilyMortgageTest","","tests.desktop_test.mortgage.FamilyMortgageTest","","FamilyMortgageTest",""
"failed","Wed May 24 17:02:03 GMT 2023","Wed May 24 17:02:30 GMT 2023","26481","","tests.desktop_test.about_bank.ConnectWithSupportTest","","tests.desktop_test.about_bank.ConnectWithSupportTest","connectingSupportTest","connectingSupportTest(String) [3] src/main/resources/testData/datasetTest.csv",""
"broken","Wed May 24 17:02:45 GMT 2023","Wed May 24 17:02:45 GMT 2023","24","","tests.mobile_test.about_bank.MortgagedPropertyMobTest","","tests.mobile_test.about_bank.MortgagedPropertyMobTest","mobMortgagedPropertyTest","mobMortgagedPropertyTest()",""
"broken","Wed May 24 17:02:45 GMT 2023","Wed May 24 17:02:45 GMT 2023","48","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","mobMonthlyPaymentTest","mobMonthlyPaymentTest(String) [1] 8",""
"broken","Wed May 24 17:02:46 GMT 2023","Wed May 24 17:02:46 GMT 2023","0","","tests.desktop_test.mortgage.MortgageCalculatorTest","","tests.desktop_test.mortgage.MortgageCalculatorTest","","MortgageCalculatorTest",""
"broken","Wed May 24 17:02:45 GMT 2023","Wed May 24 17:02:45 GMT 2023","27","","tests.mobile_test.about_bank.ConnectWithSupportMobTest","","tests.mobile_test.about_bank.ConnectWithSupportMobTest","mobConnectingSupportTest","mobConnectingSupportTest()",""
"broken","Wed May 24 17:00:57 GMT 2023","Wed May 24 17:01:01 GMT 2023","4182","","tests.desktop_test.about_bank.PassExamTest","","tests.desktop_test.about_bank.PassExamTest","passingExamTest","passingExamTest()",""
"broken","Wed May 24 17:02:45 GMT 2023","Wed May 24 17:02:45 GMT 2023","0","","tests.mobile_test.mortgage.FamilyMortgageMobTest","","tests.mobile_test.mortgage.FamilyMortgageMobTest","","FamilyMortgageMobTest",""
"broken","Wed May 24 17:02:45 GMT 2023","Wed May 24 17:02:45 GMT 2023","0","","tests.mobile_test.about_bank.ConnectWithSupportMobTest","","tests.mobile_test.about_bank.ConnectWithSupportMobTest","","ConnectWithSupportMobTest",""
"broken","Wed May 24 17:02:31 GMT 2023","Wed May 24 17:02:46 GMT 2023","15074","","tests.desktop_test.mortgage.MortgageCalculatorTest","","tests.desktop_test.mortgage.MortgageCalculatorTest","monthlyPaymentTest","monthlyPaymentTest(String) [1] 8",""
"broken","Wed May 24 17:02:45 GMT 2023","Wed May 24 17:02:45 GMT 2023","17","","tests.mobile_test.mortgage.FamilyMortgageMobTest","","tests.mobile_test.mortgage.FamilyMortgageMobTest","mobFamilyMortgageTest","mobFamilyMortgageTest()",""
"broken","Wed May 24 17:00:57 GMT 2023","Wed May 24 17:01:01 GMT 2023","3997","","tests.desktop_test.about_bank.ConnectWithSupportTest","","tests.desktop_test.about_bank.ConnectWithSupportTest","connectingSupportTest","connectingSupportTest(String) [1] src/main/resources/testData/voiceTest.mp3",""
"broken","Wed May 24 17:02:45 GMT 2023","Wed May 24 17:02:45 GMT 2023","0","","tests.mobile_test.about_bank.PassExamMobTest","","tests.mobile_test.about_bank.PassExamMobTest","","PassExamMobTest",""
"failed","Wed May 24 17:01:03 GMT 2023","Wed May 24 17:02:19 GMT 2023","76167","","tests.desktop_test.about_bank.MortgagedPropertyTest","","tests.desktop_test.about_bank.MortgagedPropertyTest","mortgagedPropertyTest","mortgagedPropertyTest()",""
"broken","Wed May 24 17:02:46 GMT 2023","Wed May 24 17:02:46 GMT 2023","22","","tests.desktop_test.mortgage.MortgageCalculatorTest","","tests.desktop_test.mortgage.MortgageCalculatorTest","monthlyPaymentTest","monthlyPaymentTest(String) [2] 5",""
"broken","Wed May 24 17:02:45 GMT 2023","Wed May 24 17:02:45 GMT 2023","29","","tests.mobile_test.about_bank.PassExamMobTest","","tests.mobile_test.about_bank.PassExamMobTest","mobPassingExamTest","mobPassingExamTest()",""
"broken","Wed May 24 17:02:45 GMT 2023","Wed May 24 17:02:45 GMT 2023","0","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","","MortgageCalculatorMobTest",""
