"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 24 17:18:55 GMT 2023","Wed May 24 17:18:55 GMT 2023","57","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","mobMonthlyPaymentTest","Проверяем взаимодействие ипотечного калькулятора и графика платежей [1] 8",""
"broken","Wed May 24 17:18:55 GMT 2023","Wed May 24 17:18:55 GMT 2023","0","","tests.mobile_test.mortgage.FamilyMortgageMobTest","","tests.mobile_test.mortgage.FamilyMortgageMobTest","","FamilyMortgageMobTest",""
"broken","Wed May 24 17:17:10 GMT 2023","Wed May 24 17:18:12 GMT 2023","61945","","tests.desktop_test.about_bank.ConnectWithSupportTest","","tests.desktop_test.about_bank.ConnectWithSupportTest","connectingSupportTest","Проверяем обработку файлов при обращении в службу поддержки [2] src/main/resources/testData/textTest.docx",""
"broken","Wed May 24 17:17:06 GMT 2023","Wed May 24 17:17:10 GMT 2023","4403","","tests.desktop_test.about_bank.PassExamTest","","tests.desktop_test.about_bank.PassExamTest","passingExamTest","Проверяем обработку результатов теста «Обмани мошенника»",""
"failed","Wed May 24 17:17:11 GMT 2023","Wed May 24 17:18:27 GMT 2023","76001","","tests.desktop_test.about_bank.MortgagedPropertyTest","","tests.desktop_test.about_bank.MortgagedPropertyTest","mortgagedPropertyTest","Проверяем форму заявки в разделе «Реализуемое имущество»",""
"broken","Wed May 24 17:18:54 GMT 2023","Wed May 24 17:18:54 GMT 2023","26","","tests.mobile_test.about_bank.ConnectWithSupportMobTest","","tests.mobile_test.about_bank.ConnectWithSupportMobTest","mobConnectingSupportTest","Проверяем обработку файлов при обращении в службу поддержки",""
"failed","Wed May 24 17:18:28 GMT 2023","Wed May 24 17:18:54 GMT 2023","26428","","tests.desktop_test.mortgage.FamilyMortgageTest","","tests.desktop_test.mortgage.FamilyMortgageTest","familyMortgageTest","Проверяем форму заявки на ипотеку на ввод некорректных данных",""
"broken","Wed May 24 17:18:55 GMT 2023","Wed May 24 17:18:55 GMT 2023","0","","tests.desktop_test.mortgage.MortgageCalculatorTest","","tests.desktop_test.mortgage.MortgageCalculatorTest","","MortgageCalculatorTest",""
"broken","Wed May 24 17:18:55 GMT 2023","Wed May 24 17:18:55 GMT 2023","0","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","","MortgageCalculatorMobTest",""
"broken","Wed May 24 17:18:54 GMT 2023","Wed May 24 17:18:54 GMT 2023","0","","tests.desktop_test.mortgage.FamilyMortgageTest","","tests.desktop_test.mortgage.FamilyMortgageTest","","FamilyMortgageTest",""
