"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 23 16:09:47 GMT 2023","Tue May 23 16:09:48 GMT 2023","1107","","tests.mobile_test.mortgage.FamilyMortgageMobTest","","tests.mobile_test.mortgage.FamilyMortgageMobTest","mobFamilyMortgageTest","mobFamilyMortgageTest()",""
"broken","Tue May 23 16:09:43 GMT 2023","Tue May 23 16:09:44 GMT 2023","1122","","tests.desktop_test.mortgage.MortgageCalculatorTest","","tests.desktop_test.mortgage.MortgageCalculatorTest","monthlyPaymentTest","monthlyPaymentTest(String) [1] 8",""
"broken","Tue May 23 16:09:47 GMT 2023","Tue May 23 16:09:48 GMT 2023","1159","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","mobMonthlyPaymentTest","mobMonthlyPaymentTest(String) [2] 5",""
"broken","Tue May 23 16:09:35 GMT 2023","Tue May 23 16:09:40 GMT 2023","4354","","tests.desktop_test.about_bank.ConnectWithSupportTest","","tests.desktop_test.about_bank.ConnectWithSupportTest","connectingSupportTest","connectingSupportTest(String) [1] src/main/resources/testData/voiceTest.mp3",""
"broken","Tue May 23 16:09:41 GMT 2023","Tue May 23 16:09:42 GMT 2023","1147","","tests.desktop_test.about_bank.MortgagedPropertyTest","","tests.desktop_test.about_bank.MortgagedPropertyTest","mortgagedPropertyTest","mortgagedPropertyTest()",""
"broken","Tue May 23 16:09:41 GMT 2023","Tue May 23 16:09:43 GMT 2023","1168","","tests.desktop_test.about_bank.ConnectWithSupportTest","","tests.desktop_test.about_bank.ConnectWithSupportTest","connectingSupportTest","connectingSupportTest(String) [3] src/main/resources/testData/datasetTest.csv",""
"broken","Tue May 23 16:09:45 GMT 2023","Tue May 23 16:09:46 GMT 2023","1121","","tests.mobile_test.about_bank.PassExamMobTest","","tests.mobile_test.about_bank.PassExamMobTest","mobPassingExamTest","mobPassingExamTest()",""
"broken","Tue May 23 16:09:44 GMT 2023","Tue May 23 16:09:45 GMT 2023","1130","","tests.mobile_test.about_bank.ConnectWithSupportMobTest","","tests.mobile_test.about_bank.ConnectWithSupportMobTest","mobConnectingSupportTest","mobConnectingSupportTest()",""
"broken","Tue May 23 16:09:46 GMT 2023","Tue May 23 16:09:47 GMT 2023","1132","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","","tests.mobile_test.mortgage.MortgageCalculatorMobTest","mobMonthlyPaymentTest","mobMonthlyPaymentTest(String) [1] 8",""
"broken","Tue May 23 16:09:40 GMT 2023","Tue May 23 16:09:41 GMT 2023","1240","","tests.desktop_test.about_bank.ConnectWithSupportTest","","tests.desktop_test.about_bank.ConnectWithSupportTest","connectingSupportTest","connectingSupportTest(String) [2] src/main/resources/testData/textTest.docx",""
"broken","Tue May 23 16:09:45 GMT 2023","Tue May 23 16:09:46 GMT 2023","1111","","tests.mobile_test.about_bank.MortgagedPropertyMobTest","","tests.mobile_test.about_bank.MortgagedPropertyMobTest","mobMortgagedPropertyTest","mobMortgagedPropertyTest()",""
"broken","Tue May 23 16:09:35 GMT 2023","Tue May 23 16:09:40 GMT 2023","4248","","tests.desktop_test.about_bank.PassExamTest","","tests.desktop_test.about_bank.PassExamTest","passingExamTest","passingExamTest()",""
"broken","Tue May 23 16:09:42 GMT 2023","Tue May 23 16:09:43 GMT 2023","1117","","tests.desktop_test.mortgage.FamilyMortgageTest","","tests.desktop_test.mortgage.FamilyMortgageTest","familyMortgageTest","familyMortgageTest()",""
"broken","Tue May 23 16:09:44 GMT 2023","Tue May 23 16:09:45 GMT 2023","1118","","tests.desktop_test.mortgage.MortgageCalculatorTest","","tests.desktop_test.mortgage.MortgageCalculatorTest","monthlyPaymentTest","monthlyPaymentTest(String) [2] 5",""
